"date","swe","Q"
2004-04-21,8.2,59.1
2004-05-21,9.9,853
2004-06-21,13.3,665
2004-07-21,16,629
2004-08-21,8.2,268
2004-09-21,0,97
2004-10-21,0,49
2004-11-21,0,76.8
2004-12-21,0,0
2004-03-22,6.5,33
2004-04-22,8.2,65.5
2004-05-22,10.3,711
2004-06-22,13,744
2004-07-22,17,534
2004-08-22,7.2,245
2004-09-22,0,127
2004-10-22,0,48.5
2004-11-22,0,67.1
2004-12-22,1,0
2004-02-23,3,51.8
2004-03-23,6.4,34.8
2004-04-23,8.2,66.5
2004-05-23,10.3,577
2004-06-23,13.1,589
2004-07-23,17.1,657
2004-08-23,6.9,198
2004-09-23,0,111
2004-10-23,0,42.7
2004-11-23,0,0
2004-12-23,0.9,0
2004-02-24,3.1,48
2004-03-24,6.4,41
2004-04-24,8.2,64.7
2004-05-24,10.5,519
2004-06-24,12.9,529
2004-07-24,17,625
2004-08-24,6.5,164
2004-09-24,0,103
2004-10-24,0,33.2
2004-11-24,0,0
2004-12-24,0.9,0
2004-02-25,3.2,63.5
2004-03-25,6.6,44.8
2004-04-25,8.2,67
2004-05-25,10.6,392
2004-06-25,13.4,498
2004-07-25,17.4,567
2004-08-25,6.4,143
2004-09-25,0,111
2004-10-25,0,46.7
2004-11-25,0,0
2004-12-25,0.8,0
2004-02-26,3.6,37.9
2004-03-26,6.6,46.7
2004-04-26,8.2,71.4
2004-05-26,10.7,381
2004-06-26,13.3,579
2004-07-26,17.6,504
2004-08-26,6.8,132
2004-09-26,0,120
2004-10-26,0,57.5
2004-11-26,0,0
2004-12-26,0.6,0
2004-02-27,3.6,29.6
2004-03-27,6.5,46.6
2004-04-27,8.3,65.5
2004-05-27,10.7,351
2004-06-27,13,605
2004-07-27,17.5,560
2004-08-27,6.1,168
2004-09-27,0,122
2004-10-27,0,54.7
2004-11-27,0,0
2004-12-27,0.3,0
2004-02-28,3.6,26.3
2004-03-28,6.3,48.7
2004-04-28,8.5,67.8
2004-05-28,10.7,490
2004-06-28,13.3,667
2004-07-28,17.3,588
2004-08-28,4.9,256
2004-09-28,0,145
2004-10-28,0,47.8
2004-11-28,0,0
2004-12-28,0,0
2004-02-29,3.6,26
2004-03-29,6.6,39.4
2004-04-29,8.5,86.7
2004-05-29,11.4,720
2004-06-29,13.8,652
2004-07-29,17.1,576
2004-08-29,3.8,238
2004-09-29,0,113
2004-10-29,0,41.3
2004-11-29,0,0
2004-12-29,0,0
2004-03-30,7,33.9
2004-04-30,8.6,101
2004-05-30,NA,624
2004-06-30,13.8,783
2004-07-30,16.9,493
2004-08-30,4,202
2004-09-30,0,129
2004-10-30,0,32.4
2004-11-30,0,0
2004-12-30,0,0
2004-03-31,7.4,46.8
2004-05-31,NA,382
2004-07-31,NA,471
2004-08-31,4.2,193
2004-10-31,0,33.3
2004-12-31,NA,0
2005-01-01,1.1,0
2005-02-01,3.5,60
2005-03-01,7.2,23.7
2005-04-01,9.6,24.6
2005-05-01,12.1,39.1
2005-06-01,14.5,1160
2005-07-01,18.9,1040
2005-08-01,21.9,346
2005-09-01,12.2,56.4
2005-10-01,0,45.8
2005-11-01,0,58.2
2005-01-02,1.3,0
2005-02-02,3.5,57.2
2005-03-02,7.2,23.4
2005-04-02,9.6,26.4
2005-05-02,12.1,34.5
2005-06-02,14.5,1310
2005-07-02,19.1,1010
2005-08-02,21.9,335
2005-09-02,11.8,51.2
2005-10-02,0,31.7
2005-11-02,0,57.8
2005-01-03,1.1,0
2005-02-03,3.5,72.2
2005-03-03,7.2,23.7
2005-04-03,9.6,27
2005-05-03,12.2,35.2
2005-06-03,14.5,1410
2005-07-03,19.2,1050
2005-08-03,21.8,358
2005-09-03,12.1,51.2
2005-10-03,0,25.1
2005-11-03,0,55.8
2005-12-03,0,0
2005-01-04,1,0
2005-02-04,3.5,71.2
2005-03-04,7.3,25.5
2005-04-04,9.6,27.6
2005-05-04,12.2,41.1
2005-06-04,14.5,1730
2005-07-04,19.1,986
2005-08-04,21.7,381
2005-09-04,12.3,34.8
2005-10-04,0,28.1
2005-11-04,0,52.7
2005-01-05,0.9,0
2005-02-05,3.8,66.9
2005-03-05,7.3,25.4
2005-04-05,9.6,28.8
2005-05-05,12.3,35.5
2005-06-05,14.6,1730
2005-07-05,19.1,870
2005-08-05,21.7,357
2005-09-05,13.1,48.3
2005-10-05,0,41.6
2005-11-05,0,53.6
2005-01-06,0.8,0
2005-02-06,3.8,61.2
2005-03-06,7.4,25.7
2005-04-06,10.2,27.4
2005-05-06,12.3,45.4
2005-06-06,14.7,1710
2005-07-06,19.5,796
2005-08-06,21.6,270
2005-09-06,12.8,61.8
2005-10-06,0,49.4
2005-11-06,0,48.8
2005-01-07,1.1,0
2005-02-07,3.8,61.7
2005-03-07,7.4,25.8
2005-04-07,10.1,27.1
2005-05-07,12.3,54.3
2005-06-07,14.7,1520
2005-07-07,19.5,741
2005-08-07,21.6,241
2005-09-07,12.3,51.4
2005-10-07,0,54.3
2005-11-07,0,50.4
2005-01-08,1,0
2005-02-08,3.9,66.5
2005-03-08,7.5,25.7
2005-04-08,10.3,27.8
2005-05-08,12.4,42.8
2005-06-08,14.8,1420
2005-07-08,19.6,699
2005-08-08,22.2,234
2005-09-08,11.4,51.4
2005-10-08,0,56.1
2005-11-08,0,57.9
2005-01-09,1,0
2005-02-09,4,59.7
2005-03-09,7.7,25.1
2005-04-09,10.5,28.6
2005-05-09,12.5,43.4
2005-06-09,15.2,1430
2005-07-09,19.4,671
2005-08-09,22.8,207
2005-09-09,10,41.3
2005-10-09,0,60
2005-11-09,0,53.3
2005-01-10,1,0
2005-02-10,4.5,64.9
2005-03-10,8.5,25.6
2005-04-10,10.8,29.5
2005-05-10,12.6,191
2005-06-10,15.3,1390
2005-07-10,19.7,718
2005-08-10,22.8,224
2005-09-10,9.4,47.1
2005-10-10,0,93.5
2005-11-10,0,53.7
2005-01-11,1,0
2005-02-11,4.6,69.7
2005-03-11,8.6,24.3
2005-04-11,11.1,28.1
2005-05-11,12.6,405
2005-06-11,15.3,1290
2005-07-11,20.2,621
2005-08-11,22.5,233
2005-09-11,9.6,46.4
2005-10-11,0,78.2
2005-11-11,0,53.5
2005-01-12,0.7,0
2005-02-12,4.8,73.4
2005-03-12,8.6,23.1
2005-04-12,11.8,27.4
2005-05-12,12.9,599
2005-06-12,15.4,1200
2005-07-12,20.3,564
2005-08-12,23.3,215
2005-09-12,9.1,40.4
2005-10-12,0,66.1
2005-11-12,0,57.6
2005-01-13,0.6,0
2005-02-13,4.7,71
2005-03-13,8.6,24.2
2005-04-13,11.7,27.6
2005-05-13,13,668
2005-06-13,15.4,1080
2005-07-13,20.2,563
2005-08-13,23.4,168
2005-09-13,9.3,31.9
2005-10-13,0,66.3
2005-11-13,0,53.7
2005-01-14,0.6,0
2005-02-14,4.7,66.8
2005-03-14,8.6,23
2005-04-14,11.6,30.1
2005-05-14,13,478
2005-06-14,15.4,952
2005-07-14,20.2,559
2005-08-14,23.5,209
2005-09-14,8.5,31.9
2005-10-14,0,68.2
2005-11-14,0,48.2
2005-01-15,0.6,0
2005-02-15,4.7,69.2
2005-03-15,8.6,19.5
2005-04-15,11.6,32.7
2005-05-15,13.2,428
2005-06-15,15.4,803
2005-07-15,20.1,712
2005-08-15,23.3,189
2005-09-15,6.8,51.7
2005-10-15,0,69.2
2005-11-15,0,48.9
2005-01-16,0.5,0
2005-02-16,4.7,62.9
2005-03-16,8.7,24.7
2005-04-16,11.6,33.1
2005-05-16,13.5,502
2005-06-16,15.6,844
2005-07-16,20.1,623
2005-08-16,23.2,196
2005-09-16,5.7,47.9
2005-10-16,0,0
2005-11-16,0,35.2
2005-01-17,0.4,0
2005-02-17,4.7,57.2
2005-03-17,8.7,27.5
2005-04-17,11.7,32.9
2005-05-17,13.5,604
2005-06-17,15.6,889
2005-07-17,19.8,569
2005-08-17,22.9,198
2005-09-17,5,35.2
2005-10-17,0,65.7
2005-11-17,0,35.1
2005-01-18,0.3,0
2005-02-18,4.7,65
2005-03-18,8.7,25
2005-04-18,11.6,52
2005-05-18,13.6,668
2005-06-18,16.2,1150
2005-07-18,19.7,551
2005-08-18,22.8,182
2005-09-18,3.1,31.2
2005-10-18,0,72.7
2005-11-18,0,70.9
2005-01-19,1.1,0
2005-02-19,4.7,74.4
2005-03-19,8.7,22.9
2005-04-19,11.6,102
2005-05-19,13.9,822
2005-06-19,16.2,1300
2005-07-19,19.3,529
2005-08-19,22.4,182
2005-09-19,1.1,30
2005-10-19,0,81.4
2005-11-19,0,56.2
2005-01-20,0.8,0
2005-02-20,4.7,69.5
2005-03-20,8.7,22.7
2005-04-20,11.6,150
2005-05-20,13.8,1220
2005-06-20,16.4,1390
2005-07-20,19.3,459
2005-08-20,21.1,178
2005-09-20,0,45.1
2005-10-20,0,82.2
2005-11-20,0,52.2
2005-01-21,0.8,0
2005-02-21,5,66.3
2005-03-21,8.7,22.2
2005-04-21,11.6,124
2005-05-21,14.3,1530
2005-06-21,17,1360
2005-07-21,19.8,391
2005-08-21,19.1,171
2005-09-21,0,63.5
2005-10-21,0,79.1
2005-11-21,0,51.3
2005-01-22,1,0
2005-02-22,5.1,41.2
2005-03-22,8.7,22
2005-04-22,11.6,94.9
2005-05-22,14.5,1800
2005-06-22,17.8,1440
2005-07-22,19.9,375
2005-08-22,17.7,166
2005-09-22,0,49.2
2005-10-22,0,79.2
2005-11-22,0,52.9
2005-01-23,2,0
2005-02-23,5.1,24.7
2005-03-23,8.7,23.3
2005-04-23,11.6,60.4
2005-05-23,14.5,1890
2005-06-23,17.9,1550
2005-07-23,19.9,423
2005-08-23,17.2,170
2005-09-23,0,53.9
2005-10-23,0,73.5
2005-11-23,0,53.1
2005-01-24,2.5,37.9
2005-02-24,5.1,23.4
2005-03-24,8.7,23.3
2005-04-24,11.5,75.5
2005-05-24,14.5,1910
2005-06-24,18,1620
2005-07-24,19.9,460
2005-08-24,17,147
2005-09-24,0,43.6
2005-10-24,0,69.3
2005-11-24,0,45.7
2005-01-25,2.7,55.5
2005-02-25,5.4,23.4
2005-03-25,9,22.6
2005-04-25,11.5,119
2005-05-25,14.5,1980
2005-06-25,18.1,1490
2005-07-25,19.8,446
2005-08-25,16.4,127
2005-09-25,0,32
2005-10-25,0,62.8
2005-11-25,0,46.1
2005-01-26,2.5,57.6
2005-02-26,5.5,24.3
2005-03-26,9.1,23
2005-04-26,11.4,124
2005-05-26,14.5,1980
2005-06-26,18.5,1490
2005-07-26,20,467
2005-08-26,15.2,114
2005-09-26,0,36.2
2005-10-26,0,64.4
2005-11-26,0,50.6
2005-01-27,2.4,66.5
2005-02-27,6.3,24.1
2005-03-27,9.4,23.2
2005-04-27,11.6,89.8
2005-05-27,14.5,1840
2005-06-27,18.5,1450
2005-07-27,20,428
2005-08-27,14.6,89.2
2005-09-27,0,24.6
2005-10-27,0,65.5
2005-11-27,0,54.3
2005-01-28,2.4,70
2005-02-28,6.9,23.6
2005-03-28,9.4,23.6
2005-04-28,11.8,103
2005-05-28,14.5,1630
2005-06-28,18.7,1310
2005-07-28,20.7,445
2005-08-28,13.6,72.4
2005-09-28,0,27.1
2005-10-28,0,64.4
2005-11-28,0,92.7
2005-01-29,2.4,67.8
2005-03-29,9.4,23.7
2005-04-29,11.8,86.1
2005-05-29,NA,1390
2005-06-29,18.6,1180
2005-07-29,21.5,408
2005-08-29,12.8,62
2005-09-29,0,73.5
2005-10-29,0,64.8
2005-11-29,0,63.9
2005-01-30,2.7,71.6
2005-03-30,9.8,23.5
2005-04-30,11.9,47.5
2005-05-30,NA,1770
2005-06-30,18.6,1080
2005-07-30,21.7,394
2005-08-30,12.5,66.1
2005-09-30,0,69.1
2005-10-30,0,65.9
2005-01-31,2.9,73.2
2005-03-31,9.6,23.6
2005-05-31,NA,1660
2005-07-31,NA,345
2005-08-31,12.7,61
2005-10-31,0,63.1
2006-04-01,13,38
2006-05-01,15.9,176
2006-06-01,17.9,1020
2006-07-01,22,404
2006-08-01,20.3,29.9
2006-09-01,6,166
2006-10-01,0,44.8
2006-11-01,0,38.8
2006-04-02,13.1,42.6
2006-05-02,16.4,262
2006-06-02,18.5,1110
2006-07-02,22.1,433
2006-08-02,20.2,52.6
2006-09-02,4.7,101
2006-10-02,0,41.9
2006-11-02,0,37.2
2006-04-03,13.2,35.1
2006-05-03,16.4,395
2006-06-03,18.5,1190
2006-07-03,22,448
2006-08-03,19.7,89.3
2006-09-03,3.3,90.9
2006-10-03,0,38.9
2006-11-03,0,49.2
2006-04-04,13.4,37.7
2006-05-04,16.8,459
2006-06-04,18.5,1230
2006-07-04,22,560
2006-08-04,20.1,131
2006-09-04,2.1,85.5
2006-10-04,0,39.2
2006-11-04,0,60.6
2006-04-05,13.4,42.4
2006-05-05,16.9,446
2006-06-05,18.4,1330
2006-07-05,22.1,479
2006-08-05,20.2,126
2006-09-05,0.9,95.6
2006-10-05,0,42
2006-11-05,0,56.1
2006-03-06,8.5,34.9
2006-04-06,13.4,50.3
2006-05-06,17.2,410
2006-06-06,18.4,1440
2006-07-06,22,473
2006-08-06,20.3,107
2006-09-06,0,56.6
2006-10-06,0,38.6
2006-11-06,0,51.5
2006-03-07,8.9,43.4
2006-04-07,13.4,47.7
2006-05-07,17.2,414
2006-06-07,18.4,1600
2006-07-07,22.2,434
2006-08-07,20.2,102
2006-09-07,0,47.1
2006-10-07,0,38.7
2006-11-07,0,49.8
2006-03-08,8.9,42.6
2006-04-08,13.4,44.4
2006-05-08,17.3,251
2006-06-08,18.6,1560
2006-07-08,22.9,435
2006-08-08,20.2,137
2006-09-08,0,48
2006-10-08,0,40.1
2006-11-08,0,50.5
2006-03-09,9,33
2006-04-09,13.8,44.4
2006-05-09,17.3,241
2006-06-09,19,1550
2006-07-09,22.9,485
2006-08-09,20.9,141
2006-09-09,0,52
2006-10-09,0,52.3
2006-11-09,0,56.7
2006-03-10,9.3,34
2006-04-10,13.8,47.3
2006-05-10,17.3,193
2006-06-10,19.2,1450
2006-07-10,22,492
2006-08-10,20.8,110
2006-09-10,0,63.4
2006-10-10,0,59.7
2006-11-10,0,62.2
2006-03-11,9.5,32.2
2006-04-11,13.9,51.5
2006-05-11,17.4,164
2006-06-11,19.5,1340
2006-07-11,22,211
2006-08-11,20.8,106
2006-09-11,0,78.2
2006-10-11,0,52.7
2006-11-11,0,47.6
2006-03-12,9.6,34.5
2006-04-12,13.9,54.7
2006-05-12,17.4,160
2006-06-12,19.5,1300
2006-07-12,22.2,182
2006-08-12,20.8,103
2006-09-12,0,63.5
2006-10-12,0,46.2
2006-11-12,0,49.6
2006-03-13,9.7,37
2006-04-13,14,52.7
2006-05-13,17.4,192
2006-06-13,20,1240
2006-07-13,21.8,163
2006-08-13,20.6,103
2006-09-13,0,53.9
2006-10-13,0,45
2006-03-14,9.9,38.5
2006-04-14,14,58.3
2006-05-14,17.4,355
2006-06-14,20.1,1130
2006-07-14,21.3,143
2006-08-14,19.9,98.9
2006-09-14,0,45.1
2006-10-14,0,44.6
2006-11-14,0,33.1
2006-03-15,10.1,58.4
2006-04-15,14.1,73
2006-05-15,17.4,551
2006-06-15,20.1,1030
2006-07-15,20.7,186
2006-08-15,19.4,135
2006-09-15,0,41.2
2006-10-15,0,44.1
2006-11-15,0,48.7
2006-03-16,10,40.6
2006-04-16,14.1,76.3
2006-05-16,17.5,645
2006-06-16,20,839
2006-07-16,20.9,177
2006-08-16,18.4,173
2006-09-16,0,41.2
2006-10-16,0,41
2006-11-16,0,40.7
2006-03-17,10.2,32.2
2006-04-17,14.3,75.1
2006-05-17,17.5,752
2006-06-17,20.2,748
2006-07-17,21,165
2006-08-17,17.3,144
2006-09-17,0,51.3
2006-10-17,0,41.6
2006-11-17,0,57.2
2006-03-18,10.4,34.4
2006-04-18,14.5,84.5
2006-05-18,17.6,752
2006-06-18,20.1,666
2006-07-18,20.7,162
2006-08-18,16.6,107
2006-09-18,0,45
2006-10-18,0,46.7
2006-11-18,0,55.5
2006-03-19,11,41.7
2006-04-19,14.8,83.6
2006-05-19,17.7,884
2006-06-19,20.5,633
2006-07-19,20.6,127
2006-08-19,15.7,98
2006-09-19,0,41.5
2006-10-19,0,38.3
2006-11-19,0,50.1
2006-03-20,11.9,36.1
2006-04-20,15,78.4
2006-05-20,18,1170
2006-06-20,20.8,560
2006-07-20,20.5,131
2006-08-20,14.8,111
2006-09-20,0,48.6
2006-10-20,0,38.7
2006-11-20,0,39.6
2006-03-21,11.9,31.5
2006-04-21,15.1,74.2
2006-05-21,18,1390
2006-06-21,21,512
2006-07-21,20.9,109
2006-08-21,13.5,161
2006-09-21,0,53.9
2006-10-21,0,49.8
2006-11-21,0,55.8
2006-03-22,11.9,32.9
2006-04-22,15.1,75.1
2006-05-22,18,1260
2006-06-22,21.1,487
2006-07-22,20.6,77.4
2006-08-22,12.9,206
2006-09-22,0,56.6
2006-10-22,0,41.2
2006-11-22,0,53.3
2006-03-23,11.8,32.6
2006-04-23,15.1,90.7
2006-05-23,18,1510
2006-06-23,21.1,513
2006-07-23,20.4,70
2006-08-23,12.4,200
2006-09-23,0,53.6
2006-10-23,0,36.4
2006-11-23,0,49.8
2006-03-24,11.9,32.5
2006-04-24,15.1,130
2006-05-24,18.1,1220
2006-06-24,21.1,713
2006-07-24,20,65
2006-08-24,11.8,198
2006-09-24,0,49.7
2006-10-24,0,39.5
2006-11-24,0,49.4
2006-03-25,11.8,33.3
2006-04-25,15.1,140
2006-05-25,18,1410
2006-06-25,21.1,693
2006-07-25,20,82
2006-08-25,10.6,194
2006-09-25,0,44.7
2006-10-25,0,41.9
2006-11-25,0,38.5
2006-03-26,11.9,38
2006-04-26,15.2,120
2006-05-26,18.1,1490
2006-06-26,21.2,625
2006-07-26,20.2,82.4
2006-08-26,9.6,221
2006-09-26,0,46
2006-10-26,0,56.6
2006-11-26,0,45.2
2006-03-27,11.8,30.1
2006-04-27,15.4,108
2006-05-27,18.1,1420
2006-06-27,21.4,537
2006-07-27,20.4,77.5
2006-08-27,8.8,235
2006-09-27,0,50.5
2006-10-27,0,46.8
2006-11-27,0,52.3
2006-03-28,12,34.1
2006-04-28,15.5,132
2006-05-28,18.1,1370
2006-06-28,21.5,473
2006-07-28,20.1,52.9
2006-08-28,7.9,186
2006-09-28,0,55.2
2006-10-28,0,42
2006-11-28,0,58.2
2006-03-29,12.1,38.7
2006-04-29,15.7,163
2006-05-29,NA,1200
2006-06-29,21.4,443
2006-07-29,19.9,38.2
2006-08-29,7.6,213
2006-09-29,0,49.3
2006-10-29,0,49.5
2006-03-30,12.5,42.8
2006-04-30,15.7,140
2006-05-30,NA,1020
2006-06-30,21.7,411
2006-07-30,20,31.7
2006-08-30,7.7,199
2006-09-30,0,48
2006-10-30,0,47.4
2006-03-31,12.5,35.2
2006-05-31,NA,1000
2006-07-31,NA,19.5
2006-08-31,7.3,222
2006-10-31,0,43.7
2007-03-01,5.7,49.5
2007-04-01,11.4,127
2007-05-01,13.6,152
2007-06-01,17.1,1240
2007-07-01,19.8,713
2007-08-01,22.4,313
2007-09-01,14.3,82.9
2007-10-01,0,56.8
2007-11-01,0,73
2007-03-02,6.2,71
2007-04-02,11.4,57.5
2007-05-02,13.7,182
2007-06-02,17.5,881
2007-07-02,20.1,679
2007-08-02,22.2,318
2007-09-02,14.4,64.9
2007-10-02,0,58.6
2007-11-02,0,56.8
2007-03-03,6.2,87.3
2007-04-03,11.4,31.1
2007-05-03,13.6,256
2007-06-03,17.9,924
2007-07-03,20.2,634
2007-08-03,21.6,412
2007-09-03,13.2,54.7
2007-10-03,0,81.3
2007-11-03,0,64.3
2007-03-04,6.5,74.6
2007-04-04,11.4,38.2
2007-05-04,13.4,340
2007-06-04,17.9,854
2007-07-04,20.2,620
2007-08-04,21,263
2007-09-04,12.2,59.5
2007-10-04,0,79.2
2007-11-04,0,60.2
2007-03-05,6.8,46.5
2007-04-05,11.7,36.4
2007-05-05,13.4,282
2007-06-05,18,1070
2007-07-05,20.5,616
2007-08-05,22,203
2007-09-05,11.8,63.6
2007-10-05,0,78.8
2007-11-05,0,59.5
2007-03-06,6.8,47.2
2007-04-06,11.8,28.8
2007-05-06,13.5,181
2007-06-06,18.1,1250
2007-07-06,21.1,597
2007-08-06,22.3,336
2007-09-06,10.7,66.4
2007-10-06,0,70.8
2007-11-06,0,58.1
2007-03-07,6.8,46.5
2007-04-07,11.9,28.6
2007-05-07,13.5,119
2007-06-07,18,1200
2007-07-07,21,576
2007-08-07,22.5,346
2007-09-07,10.4,79.5
2007-10-07,0,68.5
2007-11-07,0,56.1
2007-03-08,6.7,48
2007-04-08,11.8,28.3
2007-05-08,13.4,154
2007-06-08,18.1,977
2007-07-08,21.1,722
2007-08-08,22.7,366
2007-09-08,10.9,65
2007-10-08,0,63.4
2007-11-08,0,51.8
2007-03-09,6.9,44.1
2007-04-09,11.8,29.3
2007-05-09,13.3,246
2007-06-09,18.1,1200
2007-07-09,21.6,688
2007-08-09,22.8,354
2007-09-09,10.5,54.3
2007-10-09,0,60.9
2007-11-09,0,51.1
2007-03-10,7.1,49.5
2007-04-10,11.8,29.1
2007-05-10,13.4,186
2007-06-10,18.2,1410
2007-07-10,22,585
2007-08-10,22.6,346
2007-09-10,9.8,55.3
2007-10-10,0,59.6
2007-11-10,0,51.2
2007-03-11,7.1,57.7
2007-04-11,11.8,28.2
2007-05-11,13.4,284
2007-06-11,18.7,1470
2007-07-11,22.2,584
2007-08-11,22.3,318
2007-09-11,8.7,56.8
2007-10-11,0,52.6
2007-11-11,0,53.3
2007-03-12,7.7,57.9
2007-04-12,11.7,26.9
2007-05-12,13.6,458
2007-06-12,18.7,1550
2007-07-12,22.1,559
2007-08-12,21.7,292
2007-09-12,7.5,47.6
2007-10-12,0,54.7
2007-11-12,0,55.1
2007-03-13,7.5,53.6
2007-04-13,12,26
2007-05-13,13.6,673
2007-06-13,18.7,1610
2007-07-13,22.3,527
2007-08-13,21.2,283
2007-09-13,7.1,43
2007-10-13,0,68
2007-11-13,0,58.8
2007-03-14,7.5,52.1
2007-04-14,12.2,26.2
2007-05-14,13.7,844
2007-06-14,18.8,1710
2007-07-14,22.3,498
2007-08-14,20.8,293
2007-09-14,5.8,39.5
2007-10-14,0,111
2007-11-14,0,49
2007-03-15,7.7,56.3
2007-04-15,12.2,28.6
2007-05-15,13.9,779
2007-06-15,18.7,1740
2007-07-15,22.1,498
2007-08-15,20.7,300
2007-09-15,4.4,53.2
2007-10-15,0,97.2
2007-11-15,0,46.2
2007-03-16,7.6,52.2
2007-04-16,12.2,50
2007-05-16,14.3,714
2007-06-16,18.6,1830
2007-07-16,22.2,483
2007-08-16,20,250
2007-09-16,2.6,49.8
2007-10-16,0,79.3
2007-11-16,0,39
2007-03-17,7.4,53.5
2007-04-17,12.2,88.2
2007-05-17,14.9,736
2007-06-17,18.7,1740
2007-07-17,22.2,396
2007-08-17,19.1,193
2007-09-17,1.8,49.2
2007-10-17,0,69.6
2007-11-17,0,45.7
2007-03-18,7.7,58.7
2007-04-18,12.3,101
2007-05-18,14.9,880
2007-06-18,18.6,1770
2007-07-18,22.3,351
2007-08-18,18.8,122
2007-09-18,0.2,90.5
2007-10-18,0,72.8
2007-11-18,0,52.1
2007-03-19,7.6,61.8
2007-04-19,12.3,103
2007-05-19,14.9,1080
2007-06-19,18.5,1460
2007-07-19,22.6,343
2007-08-19,18.2,129
2007-09-19,0,77.4
2007-10-19,0,57.4
2007-11-19,0,50.9
2007-03-20,7.7,67.8
2007-04-20,12.2,110
2007-05-20,15.3,1250
2007-06-20,18.6,1350
2007-07-20,22.2,339
2007-08-20,17.5,120
2007-09-20,0,58
2007-10-20,0,59.6
2007-11-20,0,50.2
2007-03-21,10.5,72.3
2007-04-21,12.4,110
2007-05-21,15.3,1370
2007-06-21,18.4,1280
2007-07-21,22.2,308
2007-08-21,17,80.8
2007-09-21,0,48.1
2007-10-21,0,75.6
2007-11-21,0,53.6
2007-03-22,10.7,74.6
2007-04-22,12.7,117
2007-05-22,15.3,1560
2007-06-22,18.5,1170
2007-07-22,22.2,341
2007-08-22,16.7,59.6
2007-09-22,0,39.7
2007-10-22,0,66
2007-11-22,0,45
2007-02-23,5,58.8
2007-03-23,10.7,73.2
2007-04-23,12.7,118
2007-05-23,15.3,1420
2007-06-23,18.5,1120
2007-07-23,22.4,319
2007-08-23,16.8,53.4
2007-09-23,0,35.1
2007-10-23,0,68
2007-11-23,0,21
2007-02-24,4.9,51.2
2007-03-24,10.7,100
2007-04-24,12.8,100
2007-05-24,15.4,1180
2007-06-24,18.4,1080
2007-07-24,22.7,309
2007-08-24,16.9,47.2
2007-09-24,0,52.2
2007-10-24,0,79.9
2007-11-24,0,21.7
2007-02-25,4.9,46.6
2007-03-25,10.9,112
2007-04-25,12.9,27
2007-05-25,15.8,1090
2007-06-25,19.5,1040
2007-07-25,23.7,289
2007-08-25,17.1,79.1
2007-09-25,0,59.5
2007-10-25,0,71.1
2007-02-26,4.9,46.5
2007-03-26,11,113
2007-04-26,13,26.1
2007-05-26,16.3,1040
2007-06-26,19.6,997
2007-07-26,23.8,314
2007-08-26,16.4,130
2007-09-26,0,68.3
2007-10-26,0,77.4
2007-02-27,4.9,45.9
2007-03-27,11,120
2007-04-27,12.9,25.2
2007-05-27,16.5,1020
2007-06-27,19.6,932
2007-07-27,23.8,323
2007-08-27,15.7,132
2007-09-27,0,64.5
2007-10-27,0,80.6
2007-02-28,4.9,42.4
2007-03-28,11,118
2007-04-28,12.9,28.4
2007-05-28,16.9,1260
2007-06-28,19.6,861
2007-07-28,23.8,375
2007-08-28,15,174
2007-09-28,0,55.4
2007-10-28,0,80.9
2007-03-29,11.5,117
2007-04-29,13,51.4
2007-05-29,NA,1500
2007-06-29,19.4,789
2007-07-29,23.9,199
2007-08-29,14,217
2007-09-29,0,53.6
2007-10-29,0,76.4
2007-03-30,11.4,108
2007-04-30,13,106
2007-05-30,NA,1360
2007-06-30,19.5,711
2007-07-30,23,93.3
2007-08-30,14.4,206
2007-09-30,0,51.5
2007-10-30,0,75.3
2007-03-31,11.4,118
2007-05-31,NA,1330
2007-07-31,NA,290
2007-08-31,14.6,174
2007-10-31,0,80.7
2008-03-01,5.7,45.5
2008-04-01,9.4,35.5
2008-05-01,14.7,78.3
2008-06-01,19.9,1870
2008-07-01,23.5,1610
2008-08-01,26.8,397
2008-09-01,20,163
2008-10-01,0,45.7
2008-11-01,0,39.9
2008-12-01,0,39.6
2008-03-02,6.4,46.9
2008-04-02,9.4,38.9
2008-05-02,15.3,96.6
2008-06-02,19.9,2140
2008-07-02,23.7,1550
2008-08-02,27.9,389
2008-09-02,18,202
2008-10-02,0,45.3
2008-11-02,0,44.7
2008-12-02,0,41.5
2008-03-03,6.5,54.2
2008-04-03,9.5,54
2008-05-03,15.5,72.1
2008-06-03,20.1,2200
2008-07-03,23.9,1580
2008-08-03,28.6,390
2008-09-03,17.1,163
2008-10-03,0,41.2
2008-11-03,0,41.4
2008-12-03,0,41.2
2008-03-04,6.6,40.7
2008-04-04,9.5,43.3
2008-05-04,15.6,69.6
2008-06-04,20.2,2060
2008-07-04,24,1390
2008-08-04,28.6,375
2008-09-04,16.8,147
2008-10-04,0,51
2008-11-04,0,40.2
2008-12-04,0,55.8
2008-03-05,6.6,31.1
2008-04-05,9.5,44.8
2008-05-05,15.8,65.9
2008-06-05,20.3,2090
2008-07-05,24.1,1310
2008-08-05,28.4,361
2008-09-05,16.2,147
2008-10-05,0,54
2008-11-05,0,41
2008-12-05,0,78.5
2008-03-06,6.7,35.8
2008-04-06,10.5,49.2
2008-05-06,15.8,73.3
2008-06-06,20.3,2030
2008-07-06,24.4,1240
2008-08-06,28.3,378
2008-09-06,17.2,98.5
2008-10-06,0,50.9
